2019-03-23 18:19:35.699 DEBUG 12044 --- [http-nio-8001-exec-1] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/libs/jtree/jstree.min.js'; against '/libs/**'
2019-03-23 18:19:35.700 DEBUG 12044 --- [http-nio-8001-exec-5] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2019-03-23 18:19:35.700 DEBUG 12044 --- [http-nio-8001-exec-2] t.c.n.a.s.w.c.ViewLayoutBasedHandler     : Request: /css/app.css
2019-03-23 18:19:35.705 DEBUG 12044 --- [http-nio-8001-exec-1] o.s.s.w.a.i.FilterSecurityInterceptor    : Secure object: FilterInvocation: URL: /libs/jtree/jstree.min.js; Attributes: [permitAll]
2019-03-23 18:19:35.700 DEBUG 12044 --- [http-nio-8001-exec-4] t.c.n.a.s.w.c.ViewLayoutBasedHandler     : 
2019-03-23 18:19:35.707 DEBUG 12044 --- [http-nio-8001-exec-5] o.s.s.w.a.ExceptionTranslationFilter     : Chain processed normally
2019-03-23 18:19:35.708 DEBUG 12044 --- [http-nio-8001-exec-4] t.c.n.a.s.w.c.ViewLayoutBasedHandler     : ==========
2019-03-23 18:19:35.708 DEBUG 12044 --- [http-nio-8001-exec-2] t.c.n.a.s.w.c.ViewLayoutBasedHandler     : ==========
2019-03-23 18:19:35.700 DEBUG 12044 --- [http-nio-8001-exec-3] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/js/vendor/jquery-3.3.1.min.js'; against '/js/**'
2019-03-23 18:19:35.708 DEBUG 12044 --- [http-nio-8001-exec-1] o.s.s.w.a.i.FilterSecurityInterceptor    : Previously Authenticated: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@634a9a20: Principal: org.springframework.security.core.userdetails.User@3580e2: Username: root; Password: [PROTECTED]; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: ROLE_Root,changePassword,createFormRepos,createPermissions,createRoleMatrix,createRoles,createUsers,deleteFormInstances,deleteFormRepos,deletePermission,deleteUsers,downloadSurveyForms,editFormRepos,editPermissions,editRoles,editUsers,makeMyOwnPasswordReset,makePasswordReset,manageFormInstances,manageFormRepos,managePermissions,manageRoles,manageSurveys,manageUsers,queryDataTypes,querySetups,submitSurveyForms,viewFormInstances,viewFormRepos,viewPermissions,viewRoleMatrix,viewRoles,viewSurveyForms,viewUsers; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@2cd90: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: 8BF5A6C305F137981EF8291AAB850BF4; Granted Authorities: ROLE_Root, changePassword, createFormRepos, createPermissions, createRoleMatrix, createRoles, createUsers, deleteFormInstances, deleteFormRepos, deletePermission, deleteUsers, downloadSurveyForms, editFormRepos, editPermissions, editRoles, editUsers, makeMyOwnPasswordReset, makePasswordReset, manageFormInstances, manageFormRepos, managePermissions, manageRoles, manageSurveys, manageUsers, queryDataTypes, querySetups, submitSurveyForms, viewFormInstances, viewFormRepos, viewPermissions, viewRoleMatrix, viewRoles, viewSurveyForms, viewUsers
2019-03-23 18:19:35.700 DEBUG 12044 --- [http-nio-8001-exec-8] t.c.n.a.s.w.c.ViewLayoutBasedHandler     : afterCompletion
